korean,pronunciation,hanja,part_of_speech,definition,english
화,화ː,火,명사,몹시 못마땅하거나 노여워하는 감정.,anger; fury
화가,화ː가,畫家,명사,그림을 전문적으로 그리는 사람.,painter; artist
화요일,화요일,火曜日,명사,월요일을 기준으로 한 주의 둘째 날.,Tuesday
화장실,화장실,化粧室,명사,대변과 소변을 몸 밖으로 내보낼 수 있게 시설을 만들어 놓은 곳.,toilet; restroom; bathroom
화장품,화장품,化粧品,명사,"예쁘게 보이기 위해, 또는 피부를 가꾸기 위해 얼굴에 바르는 물건.",cosmetics; makeup
환영,화녕,歡迎,명사,오는 사람을 기쁘고 반갑게 맞이함.,welcome
환자,환ː자,患者,명사,몸에 병이 들거나 다쳐서 아픈 사람.,patient; sick person
환전,환ː전,換錢,명사,한 나라의 화폐를 다른 나라의 화폐와 맞바꿈.,foreign exchange; money exchange
회,회/훼,回,의존 명사,횟수를 세는 단위.,hoe
회사,회ː사/훼ː사,會社,명사,사업을 통해 이익을 얻기 위해 여러 사람이 모여 만든 법인 단체.,company; corporation
회사원,회ː사원/훼ː사원,會社員,명사,회사에 속하여 일하는 사람.,employee; office worker; staff
회색,회색/훼색,灰色,명사,재의 빛깔처럼 검은색과 흰색이 섞인 색.,gray
회원,회ː원/훼ː원,會員,명사,어떤 모임을 이루는 사람.,member
회의,회의/훼이,懷疑,명사,마음속에 의심을 품음. 또는 그 의심.,skepticism; suspicion; doubt
횡단보도,횡단보도/휑단보도,橫斷步道,명사,사람이 건너다닐 수 있도록 차도 위에 표시를 해 놓은 길.,crosswalk; crossing
후,후ː,後,명사,얼마만큼 시간이 지나간 다음.,later time
후배,후ː배,後輩,명사,같은 분야에서 자기보다 늦게 일을 시작한 사람.,junior
훨씬,훨씬,,부사,무엇과 비교해서 차이가 많이 나게.,by far; much; a lot
휴가,휴가,休暇,명사,직장이나 군대 등의 단체에 속한 사람이 일정한 기간 동안 일터를 벗어나서 쉬는 일. 또는 그런 기간.,leave; break; vacation
휴게실,휴게실,休憩室,명사,잠시 머물러 쉴 수 있도록 마련해 놓은 방.,lounge; waiting room
휴대폰,,携帶phone,명사,손에 들거나 몸에 지니고 다니면서 걸고 받을 수 있는 무선 전화기.,mobile phone; cellular phone
휴일,휴일,休日,명사,일요일이나 공휴일 등과 같이 일을 하지 않고 쉬는 날.,holiday
휴지,휴지,休紙,명사,쓸모없는 종이.,waste paper
휴지통,휴지통,休紙桶,명사,못 쓰게 된 종이나 쓰레기 등을 버리는 통.,garbage can; litter box; trash can
희망,히망,希望,명사,앞일에 대하여 기대를 가지고 바람.,hope
흰색,힌색,흰色,명사,눈이나 우유와 같은 밝은 색.,white
힘,힘,,명사,사람이나 동물이 스스로 움직이거나 다른 사물을 움직이게 하는 근육 작용.,strength; power
가난,가난,,명사,돈이 없어서 생활이 어려움. 또는 그런 상태.,poverty; want; destitution
가능,가ː능,可能,명사,할 수 있거나 될 수 있음.,possibility; potentiality
가능성,가ː능썽,可能性,명사,어떤 일이 앞으로 이루어질 수 있는 성질.,possibility; chance; likelihood
가득히,가드키,,부사,양이나 수가 정해진 범위에 꽉 찬 모양.,being full of
가로,가로,,명사,왼쪽에서 오른쪽으로 이어지는 방향. 또는 그 길이.,width; crosswise direction
가로등,가로등,街路燈,명사,어둠을 밝히기 위하여 길에 설치한 등.,streetlamp
가루,가루,,명사,단단한 물체가 아주 잘게 부스러지거나 갈린 것.,powder
가만,가만,,부사,움직이지 않거나 말 없이.,quietly; motionlessly
가만히,가만히,,부사,움직이지 않거나 말 없이.,quietly; motionlessly
가뭄,가뭄,,명사,오랫동안 비가 오지 않는 날씨.,drought
가사,가사,家事,명사,집안 살림살이에 관한 일.,housework; chores
가스,,gas,명사,기체 상태인 물질.,gas
가스레인지,,gas range,명사,가스를 연료로 사용하여 음식물을 데우고 익히는 기구.,gas range
가습기,가습끼,加濕器,명사,수증기를 내어 방 안의 습도를 조절하는 기구.,humidifier
가입,가입,加入,명사,단체에 들어가거나 상품 및 서비스를 받기 위해 계약을 함.,joining; signing up; entry
가입자,가입짜,加入者,명사,단체나 조직에 들어가거나 상품 및 서비스 계약을 한 사람.,member; subscriber
가전제품,가전제품,家電製品,명사,가정에서 사용하는 전기 기구.,household appliances
가정,가ː정,假定,명사,사실이 아니거나 사실인지 아닌지 분명하지 않은 것을 임시로 받아들임.,assumption; supposition; proposition
가정주부,가정주부,家庭主婦,명사,한 가정의 살림을 맡아서 하는 사람.,housewife
가죽,가죽,,명사,사람이나 동물의 몸을 싸고 있는 껍질.,skin
가짜,가ː짜,假짜,명사,진짜처럼 꾸몄지만 진짜가 아닌 것.,fake; forgery; imitation
가치,가치,價値,명사,값이나 귀중한 정도.,value
가치관,가치관,價値觀,명사,사람이 어떤 것의 가치에 대하여 가지는 태도나 판단의 기준.,values
가톨릭,,Catholic,명사,천주교나 천주교도.,Catholic
각,각,角,명사,"선과 선, 또는 면과 면이 만나 이루는 모서리.",edge; corner
각국,각꾹,各國,명사,각각의 여러 나라.,each country
각오,가고,覺悟,명사,앞으로 겪을 힘든 일에 대한 마음의 준비.,determination; resolve
각자,각짜,各自,명사,각각의 사람. 또는 각각 자기 자신.,each; individual
각종,각쫑,各種,명사,여러 가지 종류.,varieties; all kinds; all sorts
간,간ː,肝,명사,사람이나 동물의 몸속에서 해독 작용을 하는 기관.,liver
간격,간격,間隔,명사,거리나 시간이 벌어진 정도.,interval; space; distance; gap
간섭,간섭,干涉,명사,직접 관계가 없는 남의 일에 참견함.,interference; meddling
간신히,간신히,艱辛히,부사,힘들게 겨우.,with difficulty
간접적,간ː접쩍,間接的,명사,중간에 다른 것을 통해 이어지는 것.,being indirect
간판,간판,看板,명사,가게나 기관 등의 이름을 써서 사람들의 눈에 잘 띄게 건물의 밖에 걸거나 붙이거나 세우는 판.,sign; signboard
간호,간호,看護,명사,아픈 사람을 보살핌.,nursing; attendance; care
간혹,간ː혹,間或,부사,어쩌다가 아주 가끔.,sometimes; occasionally; once in a while
갈등,갈뜽,葛藤,명사,서로 생각이 달라 부딪치는 것.,conflict
갈수록,갈쑤록,,부사,시간이 지나면서 점점 더.,increasingly
갈증,갈쯩,渴症,명사,목이 말라 물이 마시고 싶어지는 느낌.,thirst
감각,감ː각,感覺,명사,"눈, 코, 귀, 혀, 피부를 통하여 자극을 느낌.",sense; sensation; feeling
감독,감독,監督,명사,일이나 사람이 잘못되지 않도록 살피고 단속함.,supervision; oversight; inspection
감동,감ː동,感動,명사,강하게 느껴 마음이 움직임.,strong feelings; strong impression; deep emotion
감동적,감ː동적,感動的,명사,강하게 느껴 마음이 움직이는 것.,moving; touching; stirring
감상,감ː상,感傷,명사,슬프거나 쓸쓸하게 느낌. 또는 그런 마음.,sentimentality
감상문,감ː상문,感想文,명사,어떤 물건이나 현상을 보거나 듣고 나서 느낀 것을 쓴 글.,review
감소,감ː소,減少,명사,양이나 수가 줄어듦. 또는 양이나 수를 줄임.,reduction
감시,감시,監視,명사,사람을 단속하거나 상황을 통제하기 위하여 주의 깊게 지켜봄.,surveillance; observation; watch
감옥,가목,監獄,명사,죄를 지은 사람을 가두어 두는 곳.,prison
감정,감ː정,感情,명사,일이나 대상에 대하여 마음에 일어나는 느낌이나 기분.,emotion; feeling; sentiment
감히,감ː히,敢히,부사,두렵거나 어렵지만 그래도.,daringly; boldly
강도,강도,強度,명사,세기가 강한 정도.,strength
강물,강물,江물,명사,강에 흐르는 물.,river water
강사,강ː사,講師,명사,학교나 학원에서 수업을 맡아 학생들을 가르치는 사람.,instructor
강수량,강ː수량,降水量,명사,일정한 기간 동안 일정한 곳에 비나 눈 등이 내려 생기는 물의 양.,precipitation
강요,강ː요,強要,명사,어떤 일을 강제로 요구함.,coercion; pressure
강의,강ː의/강:이,講義,명사,"대학이나 학원, 기관 등에서 지식이나 기술 등을 체계적으로 가르침.",lecture
강의실,강ː의실/강ː이실,講義室,명사,강의를 하는 데 사용하는 교실.,classroom; lecture room
강제,강ː제,強制,명사,권력이나 힘으로 남이 원하지 않는 일을 억지로 시킴.,coercion
강조,강조,強調,명사,어떤 것을 특히 두드러지게 하거나 강하게 주장함.,emphasis; stress
갖가지,갇까지,,명사,여러 가지.,assortment; variety
개구리,개구리,,명사,논이나 하천 등지에 살며 네 발에 물갈퀴가 있어 헤엄을 잘 치고 뒷다리가 길어 잘 뛰며 울음주머니를 부풀려서 소리를 내는 동물.,frog
개나리,개ː나리,,명사,"이른 봄에 잎이 나오기 전에, 늘어진 긴 가지에 노란 꽃이 다닥다닥 붙어 피는 나무. 또는 그 꽃.",forsythia
개념,개ː념,槪念,명사,"어떤 사실이나 관념, 사물에 대한 많은 구체적인 예나 특성을 통해 얻은 일반적인 지식이나 생각.",concept; notion
개미,개ː미,,명사,"주로 기어 다니며 땅 속에 굴을 파고 떼를 지어 사는, 작고 허리가 가는 곤충.",ant
개발,개발,開發,명사,토지나 천연자원 등을 이용하기 쉽거나 쓸모 있게 만듦.,development; exploitation
개방,개방,開放,명사,자유롭게 들어가거나 이용할 수 있도록 열어 놓음.,opening; opening to the public
개별,개ː별,個別,명사,하나씩 따로 떨어져 있는 상태.,being separate; being individual
개선,개ː선,改善,명사,"부족한 점, 잘못된 점, 나쁜 점 등을 고쳐서 더 좋아지게 함.",improvement
개성,개ː성,個性,명사,다른 것과 구별되는 고유의 특성.,characteristic
개인,개ː인,個人,명사,어떤 단체나 조직을 이루는 한 사람 한 사람.,each person; individual
개인적,개ː인적,個人的,명사,개인이 가진 것. 또는 개인과 관계되는 것.,being individual
개최,개최/개췌,開催,명사,"모임, 행사, 경기 등을 조직적으로 계획하여 엶.",hosting; holding
개혁,개ː혁,改革,명사,불합리한 제도나 기구 등을 새롭게 고침.,reform; reformation
객관적,객꽌적,客觀的,명사,개인의 생각이나 감정에 치우치지 않고 사실이나 사물을 있는 그대로 보거나 생각하는 것.,being objective
걔,,,품사 없음,그 아이'가 줄어든 말.,gyae
거꾸로,거꾸로,,부사,"순서, 방향, 위치가 반대로 되게.",reversely; the other way
거대,거ː대,巨大,명사,엄청나게 큼.,being enormous
거래,거ː래,去來,명사,돈이나 물건을 주고받거나 사고팖.,business; transaction; trade
거래처,거ː래처,去來處,명사,지속적으로 돈이나 물건 등을 사고파는 상대편.,customer; client
거미,거미,,명사,몸에서 끈적끈적한 줄을 뽑아 그물을 쳐서 벌레를 잡아먹고 사는 작은 동물.,spider
거북이,거부기,,명사,"몸은 납작한 타원형이고 목이 짧으며, 단단한 등껍질이 있어 머리와 꼬리, 네 발을 그 안에 움츠려 넣을 수 있는 동물.",tortoise; turtle
거스름돈,거스름똔,,명사,치러야 할 돈을 빼고 도로 주거나 받는 돈.,change
거지,거ː지,,명사,다른 사람에게 돈이나 음식 등을 달라고 빌어서 얻어먹고 사는 사람.,beggar
거짓,거ː짇,,명사,사실이 아닌 것을 사실처럼 꾸민 것.,lie; fabrication
거품,거품,,명사,액체 속에 공기가 들어가 만들어진 속이 빈 둥근 방울.,bubble; foam
건너,건ː너,,명사,어떤 곳 너머의 맞은편.,opposite side
건널목,건ː널목,,명사,철로와 도로가 교차하는 곳에 도로를 이용하던 사람들이 철로를 건널 수 있게 만들어 놓은 곳.,railroad crossing
건설,건ː설,建設,명사,건물이나 시설을 새로 짓는 것.,construction
건전지,건전지,乾電池,명사,"카메라, 라디오, 손전등 등에 쓰는, 전기를 일으키는 작은 물건.",battery
건조,건조,乾燥,명사,말라서 물기나 습기가 없음.,being dry; being dehydrated
건축,건ː축,建築,명사,"집이나 건물, 다리 등을 설계하여 지음.",architecture; construction; building
걸레,걸레,,명사,더러운 것이나 물기를 닦는 데 쓰는 헝겊.,damp cloth; dusting cloth
검색,검ː색,檢索,명사,수상한 사람이나 물건을 살펴 조사하는 것.,check; inspection
검토,검ː토,檢討,명사,내용을 자세히 따져 봄.,examination; investigation
겁,겁,怯,명사,무서워서 불안해하는 마음.,fear; fright
겉모습,건모습,,명사,겉으로 드러나 보이는 모습.,appearance; look
겉옷,거돋,,명사,겉에 입는 옷.,outerwear
게,,,어미,"앞의 말이 뒤에서 가리키는 일의 목적이나 결과, 방식, 정도 등이 됨을 나타내는 연결 어미.",-ge
게다가,게다가,,부사,그러한 데다가.,additionally
게시,게ː시,揭示,명사,여러 사람이 알 수 있도록 내걸어 두루 보게 함.,posting
게시판,게ː시판,揭示板,명사,알릴 내용을 여러 사람이 볼 수 있도록 붙여두는 판.,bulletin board; notice board
겨우,겨우,,부사,아주 힘들게.,with difficulty
겨울철,겨울철,,명사,계절이 겨울인 때.,winter season; wintertime
격려,경녀,激勵,명사,용기나 의욕이 생기도록 기운을 북돋아 줌.,encouragement
견학,견ː학,見學,명사,어떤 일과 관련된 곳을 직접 찾아가서 보고 배움.,field trip; tour
견해,견ː해,見解,명사,"사람, 사물이나 현상에 대하여 사람마다 가지는 의견이나 생각.",view; opinion; viewpoint
결국,결국,結局,부사,일의 결과로.,eventually; finally
결근,결근,缺勤,명사,일을 해야 하는 날에 직장에 가지 않고 빠짐.,absence; calling in sick
